lat,lon,east_m,north_m
10.852952299560577,106.77149275380214,,
10.852971757885179,106.77149741561438,,
10.85300037306612,106.77150207742662,,
10.853043868135899,106.77150673923889,,
10.853062181847596,106.77150790469194,,
10.853086218592498,106.77150907014502,,
10.853130858256469,106.77151256650419,,
10.853162907241876,106.77151489741031,,
10.853196100830278,106.77152189012868,,
10.85322814980869,106.77152538648788,,
10.853255620358873,106.771527717394,,
10.853278512482099,106.77153237920623,,
10.853308272239676,106.7715335446593,,
10.853340321206055,106.77153587556543,,
10.853359779505393,106.77153820647158,,
10.853388394649178,106.77153820647158,,
10.853413575973441,106.77153587556543,,
10.853446769534006,106.77154170283076,,
10.853473095458723,106.771546364643,,
10.853495987565292,106.77154869554913,,
10.853523458090855,106.77155452281444,,
10.853552073218973,106.77155452281444,,
10.853577254529444,106.77155452281444,,
10.853609303466976,106.77156035007975,,
10.853637918586868,106.77158249368794,,
10.853651653843444,106.77161396092063,,
10.85365737686683,106.77166057904313,,
10.853656232262162,106.77170020444726,,
10.853651653843444,106.77175614619425,,
10.85364135240107,106.77186919514132,,
10.85364135240107,106.77186919514132,,
10.853637918586868,106.77192280598219,,
10.853637918586868,106.77192280598219,,
10.853636773982128,106.7719659277455,,
10.853624183329663,106.77209762394156,,
10.853616171096,106.77216405476614,,
10.853607014257268,106.7722269892315,,
10.853597857418253,106.77229808186831,,
