lat,lon,east_m,north_m
10.8524863955,106.7714234872,-9.809,-85.244
10.8524684571,106.7714217928,-9.994,-87.228
10.8524506603,106.7714190303,-10.296,-89.196
10.8524326772,106.7714174561,-10.469,-91.186
10.8524147119,106.7714157599,-10.654,-93.173
10.8523967923,106.7714136737,-10.882,-95.155
10.8523788188,106.7714118132,-11.086,-97.143
10.8523609003,106.7714095188,-11.336,-99.125
10.8523429677,106.7714074306,-11.565,-101.109
10.8523250455,106.7714054924,-11.777,-103.091
10.8523072355,106.7714033600,-12.010,-105.061
10.8522895191,106.7713999924,-12.378,-107.021
10.8522716280,106.7713976078,-12.639,-109.000
10.8522537442,106.7713951200,-12.911,-110.978
10.8522358036,106.7713932060,-13.120,-112.963
10.8522178192,106.7713917500,-13.279,-114.952
10.8521998416,106.7713903197,-13.436,-116.941
10.8521818491,106.7713891828,-13.560,-118.931
10.8521638915,106.7713874038,-13.755,-120.917
10.8521460153,106.7713848750,-14.031,-122.895
10.8521281624,106.7713820898,-14.336,-124.869
10.8521103245,106.7713793414,-14.636,-126.843
10.8520923969,106.7713774537,-14.842,-128.826
10.8520744453,106.7713758573,-15.017,-130.811
10.8520565092,106.7713746734,-15.146,-132.795
10.8520385524,106.7713727895,-15.352,-134.782
10.8520205868,106.7713708404,-15.566,-136.769
10.8520025943,106.7713691863,-15.746,-138.759
10.8519846957,106.7713668522,-16.002,-140.739
10.8519667284,106.7713649800,-16.206,-142.726
10.8519487599,106.7713630733,-16.415,-144.714
10.8519308275,106.7713608732,-16.655,-146.697
10.8519129287,106.7713584467,-16.921,-148.677
10.8518949943,106.7713563110,-17.154,-150.661
10.8518770286,106.7713545263,-17.349,-152.648
10.8518590615,106.7713526329,-17.556,-154.636
10.8518411255,106.7713504906,-17.791,-156.620
10.8518231718,106.7713484095,-18.018,-158.606
10.8518051623,106.7713468768,-18.186,-160.598
10.8517872155,106.7713447360,-18.420,-162.583
10.8517692802,106.7713424830,-18.666,-164.567
10.8517513557,106.7713402171,-18.914,-166.550
10.8517334929,106.7713386626,-19.084,-168.526
10.8517155246,106.7713368179,-19.286,-170.513
10.8516975848,106.7713346559,-19.522,-172.498
10.8516796208,106.7713326941,-19.737,-174.485
10.8516616670,106.7713306656,-19.958,-176.471
10.8516437217,106.7713285092,-20.194,-178.456
10.8516258221,106.7713260521,-20.463,-180.436
10.8516078402,106.7713244670,-20.636,-182.425
10.8515898799,106.7713225654,-20.844,-184.411
10.8515719213,106.7713205784,-21.061,-186.398
10.8515539442,106.7713188464,-21.251,-188.386
10.8515359901,106.7713168262,-21.472,-190.372
10.8515180066,106.7713150090,-21.670,-192.361
10.8514999643,106.7713147188,-21.702,-194.357
10.8514821997,106.7713178038,-21.365,-196.322
10.8514655051,106.7713246999,-20.611,-198.169
10.8514509514,106.7713354507,-19.435,-199.779
10.8514401656,106.7713500426,-17.840,-200.972
